mode,utc,updates,word_exposures,input_tokens,panel_nll,panel_loss_tokens,panel_windows
sparse,2026-09-18T18:57:58.112659+00:00,7750,54958616,89709551,3.6339770321716713,77707,48
sparse,2026-09-18T19:30:58.984509+00:00,8000,56686635,92522980,3.6199423254471252,77707,48
sparse,2026-09-18T20:04:02.248267+00:00,8250,58440414,95372726,3.630510734306294,77707,48
sparse,2026-09-18T20:37:21.512040+00:00,8500,60183079,98240598,3.7345193479448544,77707,48
sparse,2026-09-18T21:10:45.951767+00:00,8750,61960164,101148883,3.8461732060763807,77707,48
sparse,2026-09-18T21:44:03.664945+00:00,9000,63725567,104047648,3.86817167403776,77707,48
sparse,2026-09-18T22:17:13.675524+00:00,9250,65490142,106910393,3.8724728542046933,77707,48
sparse,2026-09-18T22:50:28.382792+00:00,9500,67260612,109775279,3.864177804364658,77707,48
sparse,2026-09-18T23:24:31.619637+00:00,9750,69039396,112682540,3.8771116786292934,77707,48
sparse,2026-09-18T23:58:29.387928+00:00,10000,70786210,115540350,4.087299149296619,77707,48
sparse,2026-09-19T00:32:16.278999+00:00,10250,72523908,118397858,4.162879085590476,77707,48
sparse,2026-09-19T01:05:36.898719+00:00,10500,74271807,121242967,4.191058107703509,77707,48
sparse,2026-09-19T01:39:14.074343+00:00,10750,76059698,124161467,4.1990462549450065,77707,48
sparse,2026-09-19T02:12:28.741072+00:00,11000,77845838,127066070,4.208671342598338,77707,48
sparse,2026-09-19T02:46:04.947830+00:00,11250,79673056,130049503,4.219519577772302,77707,48
sparse,2026-09-19T03:19:52.283639+00:00,11500,81484584,132985008,4.462992779225882,77707,48
sparse,2026-09-19T03:53:33.076263+00:00,11750,83300651,135954516,4.527412791825701,77707,48
sparse,2026-09-19T04:26:52.515304+00:00,12000,85074246,138848367,4.564339830676978,77707,48
sparse,2026-09-19T04:59:55.278277+00:00,12250,86819332,141682232,4.575148523525014,77707,48
sparse,2026-09-19T05:32:47.821597+00:00,12500,88530326,144497573,4.591924567731728,77707,48
sparse,2026-09-19T06:06:06.909286+00:00,12750,90279871,147367525,4.7196069622422705,77707,48
sparse,2026-09-19T06:39:08.024013+00:00,13000,92040831,150239059,4.83018490291773,77707,48
sparse,2026-09-19T07:12:35.197841+00:00,13250,93818408,153131696,4.887521527517254,77707,48
sparse,2026-09-19T07:45:48.329544+00:00,13500,95576821,155991603,4.92010388880025,77707,48
sparse,2026-09-19T08:19:23.186432+00:00,13750,97379240,158943474,4.946266011442401,77707,48
sparse,2026-09-19T08:52:48.160672+00:00,14000,99120803,161795735,4.968876926900214,77707,48
sparse,2026-09-19T09:09:15.757329+00:00,14122,99998882,163224857,4.984511853470196,77707,48
